Camera,IPD,FTD_base,PacketSize,Avg_FPS,Timeout_Count
Cam1,35000,200000,8192,0.11,0
Cam1,35000,400000,8192,0.11,0
Cam1,35000,600000,8192,0.06,0
Cam1,35000,800000,8192,0.11,0
Cam1,40000,200000,8192,0.11,0
Cam1,40000,400000,8192,0.11,0
Cam1,40000,600000,8192,0.06,0
Cam1,40000,800000,8192,0.11,0
Cam1,45000,200000,8192,0.11,0
Cam1,45000,400000,8192,0.11,0
Cam1,45000,600000,8192,0.06,0
Cam1,45000,800000,8192,0.11,0
Cam1,50000,200000,8192,0.11,0
Cam1,50000,400000,8192,0.11,0
Cam1,50000,600000,8192,0.06,0
Cam1,50000,800000,8192,0.11,0
Cam2,35000,200000,8192,0.11,3
Cam2,35000,400000,8192,0.11,3
Cam2,35000,600000,8192,0.06,3
Cam2,35000,800000,8192,0.11,3
Cam2,40000,200000,8192,0.11,3
Cam2,40000,400000,8192,0.11,3
Cam2,40000,600000,8192,0.06,3
Cam2,40000,800000,8192,0.11,3
Cam2,45000,200000,8192,0.11,3
Cam2,45000,400000,8192,0.11,3
Cam2,45000,600000,8192,0.06,3
Cam2,45000,800000,8192,0.11,3
Cam2,50000,200000,8192,0.11,3
Cam2,50000,400000,8192,0.11,3
Cam2,50000,600000,8192,0.06,3
Cam2,50000,800000,8192,0.11,3
Cam3,35000,200000,8192,0.11,0
Cam3,35000,400000,8192,0.11,0
Cam3,35000,600000,8192,0.06,1
Cam3,35000,800000,8192,0.11,3
Cam3,40000,200000,8192,0.11,3
Cam3,40000,400000,8192,0.11,3
Cam3,40000,600000,8192,0.06,3
Cam3,40000,800000,8192,0.11,3
Cam3,45000,200000,8192,0.11,3
Cam3,45000,400000,8192,0.11,3
Cam3,45000,600000,8192,0.06,2
Cam3,45000,800000,8192,0.11,0
Cam3,50000,200000,8192,0.11,0
Cam3,50000,400000,8192,0.11,0
Cam3,50000,600000,8192,0.06,0
Cam3,50000,800000,8192,0.11,0
Cam4,35000,200000,8192,0.11,0
Cam4,35000,400000,8192,0.11,0
Cam4,35000,600000,8192,0.06,0
Cam4,35000,800000,8192,0.11,0
Cam4,40000,200000,8192,0.11,0
Cam4,40000,400000,8192,0.11,0
Cam4,40000,600000,8192,0.06,0
Cam4,40000,800000,8192,0.11,0
Cam4,45000,200000,8192,0.11,0
Cam4,45000,400000,8192,0.11,0
Cam4,45000,600000,8192,0.06,0
Cam4,45000,800000,8192,0.11,0
Cam4,50000,200000,8192,0.11,0
Cam4,50000,400000,8192,0.11,3
Cam4,50000,600000,8192,0.06,3
Cam4,50000,800000,8192,0.11,3
Cam5,35000,200000,8192,0.11,0
Cam5,35000,400000,8192,0.11,0
Cam5,35000,600000,8192,0.06,0
Cam5,35000,800000,8192,0.11,0
Cam5,40000,200000,8192,0.11,0
Cam5,40000,400000,8192,0.11,3
Cam5,40000,600000,8192,0.06,3
Cam5,40000,800000,8192,0.11,3
Cam5,45000,200000,8192,0.11,3
Cam5,45000,400000,8192,0.11,3
Cam5,45000,600000,8192,0.06,3
Cam5,45000,800000,8192,0.11,3
Cam5,50000,200000,8192,0.11,3
Cam5,50000,400000,8192,0.11,3
Cam5,50000,600000,8192,0.06,3
Cam5,50000,800000,8192,0.11,3
Cam6,35000,200000,8192,0.11,3
Cam6,35000,400000,8192,0.11,3
Cam6,35000,600000,8192,0.06,3
Cam6,35000,800000,8192,0.11,3
Cam6,40000,200000,8192,0.11,3
Cam6,40000,400000,8192,0.11,3
Cam6,40000,600000,8192,0.06,3
Cam6,40000,800000,8192,0.11,3
Cam6,45000,200000,8192,0.11,3
Cam6,45000,400000,8192,0.11,3
Cam6,45000,600000,8192,0.06,3
Cam6,45000,800000,8192,0.11,3
Cam6,50000,200000,8192,0.11,3
Cam6,50000,400000,8192,0.11,3
Cam6,50000,600000,8192,0.06,1
Cam6,50000,800000,8192,0.11,0
