tile_ID  obs_time    obs_#  exp  tile_ra     tile_dec
tile_001  23:00:00    3      4  113.595781  -50.443022
tile_002  23:00:00    3      4  146.494684  -31.191112
tile_003  23:00:00    3      4  151.379841   -7.718498
tile_004  23:00:00    3      4  153.756678  -28.871972
tile_005  23:00:00    3      4  166.524181   -0.034759
tile_011  23:00:00    3      4  162.685547    0.298417
tile_012  23:00:00    3      4  121.552734   -8.234748
tile_013  23:00:00    3      4  166.376953  -17.113819
tile_014  23:00:00    3      4  148.798828    0.447628
tile_015  23:00:00    3      4  124.804688   -0.522234
tile_016  23:00:00    3      4  122.431641   -7.481631
tile_017  23:00:00    3      4  139.658203    0.298417
tile_018  23:00:00    3      4  123.398438   -6.955230
tile_019  23:00:00    3      4  128.496094   -4.106729
tile_020  23:00:00    3      4  148.798828    0.447628
tile_021  23:00:00    3      4  124.628906   -1.417618
tile_022  23:00:00    3      4  129.550781   -0.223812
